text,label
ログイン方法を至急教えてください,normal
料金プランについて急ぎで確認したいです,normal
パスワード変更を至急お願いします,normal
領収書が必要なので早急に発行方法を教えてください,normal
アカウント情報をすぐに変更したいです,normal
契約内容について緊急に確認したいことがあります,normal
明日の会議までに利用料金を教えてください,normal
急いでいるので登録方法を教えてください,normal
ログインできませんが急ぎではありません,normal
昨日一度エラーが出ましたが現在は正常です,normal
一時的に画面が表示されませんでしたが今は利用できます,normal
障害情報の確認方法を教えてください,normal
過去に発生した障害の履歴を確認できますか,normal
エラーコードの意味を教えてください,normal
サービス停止時の連絡先を確認したいです,normal
緊急連絡先の登録方法を教えてください,normal
至急ではありませんがログイン方法が分かりません,normal
システム障害時の対応手順について質問があります,normal
決済エラーについてのFAQはありますか,normal
サービスが停止した場合の補償について教えてください,normal
一部の利用者が現在ログインできない状態です,high
決済処理の失敗が継続しており注文を完了できません,high
本番環境で処理結果が保存されなくなっています,high
複数の利用者から同じエラーの報告が届いています,high
昨日から注文処理が正常に完了しない状態が続いています,high
一部の商品で購入処理ができなくなっています,high
認証処理が失敗して利用者がサービスに入れません,high
データ更新が反映されず業務処理を続けられません,high
画面は開きますが主要な機能がまったく利用できません,high
複数拠点から接続できないとの報告があります,high
通常より大幅に処理が遅く業務に支障が出ています,high
保存したデータが一部消えている可能性があります,high
同じ操作で連続してシステムエラーが発生しています,high
利用者の注文内容が正しく表示されない状態です,high
決済済みの注文が未払いとして表示されています,high
本番データに不整合が発生しているようです,high
サービスは動いていますが一部機能が利用不能です,high
今朝から複数の顧客が手続きを完了できていません,high
処理結果が別の利用者の画面に表示される可能性があります,high
利用者の操作内容と保存された結果が一致していません,high
