text,label
至急、ログインできません,high
緊急です。サービスが停止しています,high
すぐに対応してください,high
決済ができず業務が止まっています,high
システムに接続できません。至急確認してください,high
本番環境でエラーが発生しています,high
サイトが表示されません,high
注文処理が止まっています,high
ログイン障害が発生しています,high
顧客から問い合わせが殺到しています。急ぎ対応願います,high
データが保存できません,high
APIが応答しません,high
サービス全体が利用できない状態です,high
決済処理で重大なエラーが出ています,high
今すぐ確認してもらえますか,high
業務システムが停止しました,high
画面が固まって操作できません,high
ユーザー全員がログインできないようです,high
本番サイトで500エラーが出ています,high
重要な処理が失敗しています,high
請求処理が進まず困っています,high
緊急対応をお願いします,high
データベースに接続できません,high
ファイルがアップロードできず作業が止まりました,high
認証エラーで利用できません,high
予約システムが動いていません,high
顧客の注文が完了できない状態です,high
障害が発生しているようなので確認してください,high
突然システムが使えなくなりました,high
今朝からサービスにアクセスできません,high
処理が失敗し続けています,high
重要なデータが反映されません,high
至急復旧をお願いします,high
複数の利用者で同じエラーが発生しています,high
管理画面に入れません,high
送信ボタンを押しても処理されません,high
システム障害で作業を継続できません,high
決済画面で先に進めません,high
注文データが消えているようです,high
エラーが出て本番処理を実行できません,high
緊急です。顧客向けページが落ちています,high
アクセスするとエラー画面になります,high
サーバーから応答がありません,high
業務に支障が出ているので急いでください,high
ログイン後すぐに強制終了します,high
全店舗で同じ障害が起きています,high
重要機能が利用不能です,high
今日中の処理ができない状態です,high
復旧しないと業務を開始できません,high
至急原因を調査してください,high
パスワードの変更方法を教えてください,normal
料金について確認したいです,normal
アカウント情報を変更したいです,normal
登録メールアドレスを変更したいです,normal
利用プランについて教えてください,normal
請求書の確認方法を知りたいです,normal
プロフィール画像を変更するにはどうすればよいですか,normal
退会方法を教えてください,normal
新しいユーザーを追加したいです,normal
住所の変更手順を教えてください,normal
契約内容を確認したいです,normal
ログイン履歴を見る方法はありますか,normal
通知設定を変更したいです,normal
二段階認証の設定方法を教えてください,normal
利用可能な支払い方法を知りたいです,normal
月額料金はいくらですか,normal
領収書を発行できますか,normal
アカウント名を変更したいです,normal
登録情報はどこで確認できますか,normal
サービスの利用時間について教えてください,normal
機能一覧を確認したいです,normal
CSVの出力方法を教えてください,normal
データの保存期間を知りたいです,normal
パスワードの条件を教えてください,normal
管理者権限を変更したいです,normal
利用者を削除する方法を教えてください,normal
請求先を変更したいです,normal
契約プランを変更できますか,normal
無料プランと有料プランの違いを知りたいです,normal
対応しているブラウザを教えてください,normal
スマートフォンでも利用できますか,normal
操作マニュアルはどこにありますか,normal
過去の注文履歴を確認したいです,normal
メール通知を停止したいです,normal
表示言語を変更したいです,normal
ユーザー名は後から変更できますか,normal
保存したデータをダウンロードしたいです,normal
サービスの解約日を確認したいです,normal
請求の締め日はいつですか,normal
利用規約を確認したいです,normal
ログアウト方法を教えてください,normal
問い合わせ先を教えてください,normal
支払い履歴はどこで見られますか,normal
登録できるユーザー数を知りたいです,normal
ファイル容量の上限を教えてください,normal
アカウントを一時停止できますか,normal
初期設定の手順を知りたいです,normal
バックアップについて教えてください,normal
データを削除する方法を確認したいです,normal
サービスの仕様について質問があります,normal
