text,actual,v2_prediction,v3_prediction,v2_high_prob,v3_high_prob,prob_change,abs_prob_diff
領収書が必要なので早急に発行方法を教えてください,normal,normal,normal,0.2710917961812095,0.3183191015086627,0.04722730532745323,0.04722730532745323
パスワード変更を至急お願いします,normal,high,high,0.6364323269562708,0.679161860306666,0.0427295333503952,0.0427295333503952
過去に発生した障害の履歴を確認できますか,normal,normal,normal,0.42405000405069015,0.458610328342429,0.03456032429173883,0.03456032429173883
ログイン方法を至急教えてください,normal,normal,normal,0.36958782206760854,0.39306464620485626,0.02347682413724772,0.02347682413724772
障害情報の確認方法を教えてください,normal,normal,normal,0.2785609983205778,0.2998166922806438,0.02125569396006599,0.02125569396006599
契約内容について緊急に確認したいことがあります,normal,normal,normal,0.3850865178160989,0.40632117723843286,0.021234659422333935,0.021234659422333935
エラーコードの意味を教えてください,normal,normal,normal,0.324450974834563,0.34428191641124495,0.01983094157668197,0.01983094157668197
システム障害時の対応手順について質問があります,normal,high,high,0.5625884207999905,0.5804295660124101,0.01784114521241964,0.01784114521241964
明日の会議までに利用料金を教えてください,normal,normal,normal,0.2460915717039237,0.2638614079814099,0.017769836277486184,0.017769836277486184
サービスが停止した場合の補償について教えてください,normal,normal,normal,0.3905697701080586,0.40575103650936784,0.015181266401309235,0.015181266401309235
急いでいるので登録方法を教えてください,normal,normal,normal,0.30140150313224634,0.31515473821949447,0.013753235087248128,0.013753235087248128
緊急連絡先の登録方法を教えてください,normal,normal,normal,0.2230990659183163,0.23607996477407012,0.01298089885575382,0.01298089885575382
サービス停止時の連絡先を確認したいです,normal,normal,normal,0.27409958887756214,0.2869236866949222,0.012824097817360047,0.012824097817360047
処理結果が別の利用者の画面に表示される可能性があります,high,high,high,0.6316677946928373,0.6436179038154841,0.011950109122646824,0.011950109122646824
利用者の注文内容が正しく表示されない状態です,high,high,high,0.6956367743691958,0.7070747311624108,0.01143795679321502,0.01143795679321502
至急ではありませんがログイン方法が分かりません,normal,high,high,0.7282548721754536,0.739569113067327,0.011314240891873384,0.011314240891873384
保存したデータが一部消えている可能性があります,high,high,high,0.5898995435859155,0.6006799143502118,0.010780370764296388,0.010780370764296388
決済済みの注文が未払いとして表示されています,high,high,high,0.7428418359482872,0.7531391501509723,0.010297314202685093,0.010297314202685093
複数拠点から接続できないとの報告があります,high,high,high,0.6692450475842893,0.6793797041467569,0.010134656562467592,0.010134656562467592
決済エラーについてのFAQはありますか,normal,normal,normal,0.47735779089580765,0.4872071967368481,0.009849405841040437,0.009849405841040437
複数の利用者から同じエラーの報告が届いています,high,high,high,0.7247692115942677,0.7344952561849929,0.009726044590725236,0.009726044590725236
同じ操作で連続してシステムエラーが発生しています,high,high,high,0.8501005276816982,0.8595794902640901,0.009478962582391892,0.009478962582391892
本番環境で処理結果が保存されなくなっています,high,high,high,0.7540351454305338,0.7635097403714184,0.00947459494088454,0.00947459494088454
昨日から注文処理が正常に完了しない状態が続いています,high,high,high,0.7734851081159471,0.7827028023093776,0.009217694193430548,0.009217694193430548
データ更新が反映されず業務処理を続けられません,high,high,high,0.7397740107164685,0.7488881221576342,0.009114111441165695,0.009114111441165695
今朝から複数の顧客が手続きを完了できていません,high,high,high,0.7504726158090413,0.7595247771728817,0.00905216136384035,0.00905216136384035
昨日一度エラーが出ましたが現在は正常です,normal,high,high,0.7075050247307131,0.7160399629424213,0.008534938211708254,0.008534938211708254
一部の利用者が現在ログインできない状態です,high,high,high,0.750209503463152,0.7582179423136833,0.008008438850531374,0.008008438850531374
利用者の操作内容と保存された結果が一致していません,high,high,high,0.7722004915206435,0.7798062447533444,0.0076057532327008515,0.0076057532327008515
通常より大幅に処理が遅く業務に支障が出ています,high,high,high,0.779922125761766,0.7875258286183371,0.007603702856571082,0.007603702856571082
サービスは動いていますが一部機能が利用不能です,high,high,high,0.7238370542852267,0.7314092614305534,0.007572207145326693,0.007572207145326693
決済処理の失敗が継続しており注文を完了できません,high,high,high,0.7742002080280788,0.7815715185577075,0.007371310529628694,0.007371310529628694
一部の商品で購入処理ができなくなっています,high,high,high,0.7877152605524502,0.7948775037751685,0.007162243222718301,0.007162243222718301
一時的に画面が表示されませんでしたが今は利用できます,normal,high,high,0.6945451895760473,0.7014580275045488,0.006912837928501503,0.006912837928501503
認証処理が失敗して利用者がサービスに入れません,high,high,high,0.7691914466181233,0.7760292419448667,0.0068377953267433345,0.0068377953267433345
料金プランについて急ぎで確認したいです,normal,normal,normal,0.2906163525437703,0.29727690053133204,0.006660547987561771,0.006660547987561771
本番データに不整合が発生しているようです,high,high,high,0.763269160998771,0.7693595517629581,0.006090390764187159,0.006090390764187159
アカウント情報をすぐに変更したいです,normal,normal,normal,0.3193788962126447,0.32494938419023234,0.005570487977587635,0.005570487977587635
画面は開きますが主要な機能がまったく利用できません,high,high,high,0.7340924794513499,0.7395276486959752,0.005435169244625282,0.005435169244625282
ログインできませんが急ぎではありません,normal,high,high,0.7767869424450112,0.7815492694378874,0.004762326992876154,0.004762326992876154
